法人名,住所,設立日,法人種別
あっとほうむプラス株式会社,岡山県倉敷市真備町岡田８１５番地,2026-02-02,株式会社
あのつ牧場株式会社,宮城県遠田郡涌谷町成沢字古清水１５番地,2026-02-02,株式会社
こうばこ不動産合同会社,福岡県福岡市博多区博多駅前１丁目２３番２号ＰａｒｋＦｒｏｎｔ博多駅前１丁目５Ｆ－Ｂ,2026-02-02,合同会社
さいと高原牧場株式会社,宮城県遠田郡涌谷町成沢字古清水１５番地,2026-02-02,株式会社
じんせき高原牧場株式会社,宮城県遠田郡涌谷町成沢字古清水１５番地,2026-02-02,株式会社
ひかりナース合同会社,東京都三鷹市下連雀５丁目１番１－３４０号,2026-02-02,合同会社
まゆこ企画株式会社,三重県桑名市大字安永８２３番地１０,2026-02-02,株式会社
わんわん合同会社,岐阜県高山市花岡町３丁目５４番地６フラワーヒルズＥ棟Ｆ号室,2026-02-02,合同会社
アイアイ不動産株式会社,千葉県船橋市本中山２丁目２３番６号ジュネパレス５階,2026-02-02,株式会社
アグリベースマルヤマ合同会社,静岡県御殿場市東田中１７９０番地の３,2026-02-02,合同会社
アセットプラス株式会社,東京都千代田区丸の内１丁目６番６号日本生命丸の内ビル２１Ｆ,2026-02-02,株式会社
アトムテック合同会社,福岡県糟屋郡須惠町上須恵７５３－８９,2026-02-02,合同会社
アトモスフィア合同会社,福岡県福岡市博多区博多駅前１丁目２３番２号ＰａｒｋＦｒｏｎｔ博多駅前１丁目５Ｆ－Ｂ,2026-02-02,合同会社
アミ・キャピタル株式会社,熊本県熊本市中央区新大江１丁目１９－１０クレアドール水前寺５０２号室,2026-02-02,株式会社
アルブルアセットマネジメント合同会社,東京都北区滝野川６丁目２１番１－４０１号,2026-02-02,合同会社
アルプロス・ティーチライズメディア株式会社,東京都新宿区西新宿３丁目７番３０号フロンティアグラン西新宿８階,2026-02-02,株式会社
イノチ細胞研究株式会社,東京都渋谷区神宮前１丁目８番２４号３０２・１７５番館別館,2026-02-02,株式会社
ウェルナイト株式会社,東京都千代田区岩本町３丁目１番９号ＮＯＶＥＬＷＯＲＫＩｗａｍｏｔｏｃｈｏ３Ｆ,2026-02-02,株式会社
エマーリンク株式会社,広島県広島市安佐南区東野３丁目２４番７号Ｃ－２,2026-02-02,株式会社
エムエムワン一般社団法人,東京都千代田区丸の内１丁目４番１号東京共同会計事務所内,2026-02-02,その他の設立登記法人
エムテック株式会社,埼玉県三郷市彦成１丁目３９２番地３３,2026-02-02,株式会社
オブリガート合同会社,東京都港区六本木４丁目１０番２号荒川ビル２階,2026-02-02,合同会社
オヤスミアイスホテル合同会社,大阪府大阪市中央区難波２丁目３－２,2026-02-02,合同会社
グテ合同会社,東京都品川区旗の台６丁目１８番１０－２０６号,2026-02-02,合同会社
グランフーズ株式会社,福岡県福岡市東区箱崎１丁目５番２２－４０２号,2026-02-02,株式会社
サンライズ合同会社,神奈川県横浜市神奈川区斎藤分町２３番１７号,2026-02-02,合同会社
シェリーズ合同会社,東京都品川区小山３丁目７番１２号サンハイツ１０１号室,2026-02-02,合同会社
シナリオゼロ株式会社,大分県大分市碩田町３丁目１番３５号,2026-02-02,株式会社
シンクレス合同会社,神奈川県横浜市西区北幸２丁目１０番４８号,2026-02-02,合同会社
ストラタム株式会社,岡山県倉敷市平田７００番地１０,2026-02-02,株式会社
セカンドナイン合同会社,東京都豊島区南池袋３丁目１４－１０アゼリア南池袋１０４号室,2026-02-02,合同会社
ソリッド都市開発株式会社,大阪府大阪市東成区中本３丁目１５番１６号フィエルメンテ７０１号,2026-02-02,株式会社
タスリンク合同会社,愛知県名古屋市港区正保町７丁目１番地１,2026-02-02,合同会社
テックオーシャン株式会社,千葉県松戸市古ケ崎１９２番６号,2026-02-02,株式会社
トリプルエクセレント合同会社,東京都中央区銀座１丁目１２番４号Ｎ＆ＥＢＬＤ．６Ｆ,2026-02-02,合同会社
ドリーム・Ｋ株式会社,千葉県東金市東金１００２番地,2026-02-02,株式会社
ネクストチャプター合同会社,東京都港区浜松町２丁目２番１５号浜松町ダイヤビル２Ｆ,2026-02-02,合同会社
フィックス株式会社,兵庫県芦屋市東芦屋町１６番２０号,2026-02-02,株式会社
フライングチキンワークス株式会社,神奈川県鎌倉市極楽寺２丁目１１番１８号,2026-02-02,株式会社
プレナ株式会社,福岡県福岡市中央区薬院４丁目１８番５－１００２号エステートモア浄水通り,2026-02-02,株式会社
プロデリア・パートナーズ株式会社,東京都港区南青山３丁目１番３６号青山丸竹ビル６Ｆ,2026-02-02,株式会社
ホリデイＭＬ合同会社,東京都千代田区丸の内１丁目４番１号東京共同会計事務所内,2026-02-02,合同会社
ポルテ・ボヌール・アセットマネジメント合同会社,東京都中央区東日本橋２丁目２８番４号日本橋ＣＥＴビル２階,2026-02-02,合同会社
マナビヤ合同会社,石川県河北郡内灘町字向粟崎５丁目１６５―３,2026-02-02,合同会社
マニッチ合同会社,東京都目黒区中目黒４丁目８番２５プライムメゾン中目黒７０１号室,2026-02-02,合同会社
マリンファーム協同組合,岡山県岡山市北区西古松２丁目３－８オムⅣビル２Ｆ,2026-02-02,その他の設立登記法人
ミレオンアセット合同会社,東京都港区北青山１丁目３－３三橋ビル３階,2026-02-02,合同会社
モリコシ企画株式会社,三重県桑名市柳原１３５番地３,2026-02-02,株式会社
ラムダ合同会社,東京都中央区日本橋１丁目４番１号,2026-02-02,合同会社
ルーツワン株式会社,福井県坂井市春江町西長田第４７号２５番地１,2026-02-02,株式会社
レバレジーズ・コンサルティング・グループ株式会社,東京都渋谷区渋谷２丁目２４番１２号,2026-02-02,株式会社
ワンダークラフトカンパニー株式会社,東京都渋谷区広尾１丁目２番１号ヒカリビル４階,2026-02-02,株式会社
一般社団法人そなえる,福岡県宗像市東郷２丁目４番１１号,2026-02-02,その他の設立登記法人
一般社団法人つかさ福祉サービス,千葉県野田市下三ケ尾４３７番地,2026-02-02,その他の設立登記法人
一般社団法人ノヴァエナジー,東京都板橋区上板橋１丁目１９番１６号,2026-02-02,その他の設立登記法人
一般社団法人ハイラボ,秋田県南秋田郡五城目町大川大川字東屋布１３７番地２,2026-02-02,その他の設立登記法人
一般社団法人プレイフル,新潟県糸魚川市大字東川原３４番地２,2026-02-02,その他の設立登記法人
一般社団法人五条ヶ丘活性化推進協議会,山梨県南巨摩郡身延町常葉４３９番地,2026-02-02,その他の設立登記法人
一般社団法人介友会,東京都中央区東日本橋３丁目６番１２号,2026-02-02,その他の設立登記法人
一般社団法人加古川ＢＵＫＡＴＳＵユナイテッド,兵庫県神戸市中央区磯辺通１丁目１番１８号カサベラ国際プラザビル７０７号室,2026-02-02,その他の設立登記法人
一般社団法人北大サッカー部ｓｕｓｔａｉｎａｂｌｅ　ｓｕｐｐｏｒｔ,北海道札幌市中央区北五条西１１丁目１５－４ＢＹＹＡＲＤ,2026-02-02,その他の設立登記法人
一般社団法人地域連携Ｐｒｏｊｅｃｔ１９,群馬県北群馬郡吉岡町大字陣場４３番地２,2026-02-02,その他の設立登記法人
一般社団法人姶良・霧島を元気にする会,鹿児島県霧島市隼人町見次１８６４番地２,2026-02-02,その他の設立登記法人
一般社団法人日比谷音楽祭,東京都中央区日本橋兜町１７番２号,2026-02-02,その他の設立登記法人
一般社団法人木更津市農業支援センター,千葉県木更津市長須賀３８２番地,2026-02-02,その他の設立登記法人
一般社団法人横浜市中区ビル運用企画２号,東京都千代田区霞が関３丁目２番５号,2026-02-02,その他の設立登記法人
一般社団法人清川くらし探究舎,和歌山県日高郡みなべ町清川３１８６番地,2026-02-02,その他の設立登記法人
一般社団法人白岡ホールディングス,東京都千代田区丸の内１丁目６番５号,2026-02-02,その他の設立登記法人
一般社団法人百草ＬＡＢＯ協議会,東京都日野市三沢１２９１番地の１ルイシャトレ百草園ヒルズ８０６,2026-02-02,その他の設立登記法人
一般社団法人ＢｒｅａｋＴｈｒｏｕｇｈ,東京都港区南青山３丁目１番３６号青山丸竹ビル６Ｆ,2026-02-02,その他の設立登記法人
一般社団法人Ｃ＆Ｅ箱根,東京都港区六本木１丁目６番１号泉ガーデンタワーＫＰＭＧ税理士法人内,2026-02-02,その他の設立登記法人
一般社団法人ＤＲＴ‐ＪＡＰＡＮ　ＹＡＭＡＧＡＴＡ,山形県米沢市八幡原２丁目４４４番地の７,2026-02-02,その他の設立登記法人
一般社団法人ＳＰＣＡ　Ｔｏｋｙｏ,東京都新宿区四谷坂町１２番２１号,2026-02-02,その他の設立登記法人
一般社団法人Ｕｎｉｖｅｒｓｉｔｙ　Ｃｌｕｂ　Ｆｕｎｄ,福岡県福岡市中央区六本松２丁目５－１ＴＨＥ・ＧＲＯＶＥ５Ｆ,2026-02-02,その他の設立登記法人
一般財団法人セントルシア盛諾基金,東京都中央区新富１丁目５番１２号エスパシオ新富町７階,2026-02-02,その他の設立登記法人
一般財団法人ノジマ出る杭財団,東京都港区港南２丁目１５－３品川インターシティＣ棟,2026-02-02,その他の設立登記法人
一般財団法人ハウスクラフト建築財団,三重県四日市市西浦１丁目７番７号尾西ビル４階,2026-02-02,その他の設立登記法人
京和医科機器株式会社,東京都中央区日本橋小伝馬町７番１０号ウィンド小伝馬町Ⅱビル４Ｆ,2026-02-02,株式会社
仁株式会社,奈良県北葛城郡上牧町服部台１丁目１１番３５号ヴィルヌーブＢ－２０２号室,2026-02-02,株式会社
加賀しずくプロモーション実行委員会,石川県金沢市古府１丁目２２０,2026-02-02,その他
医療法人津村会,大阪府大阪市北区曾根崎２丁目３番２号梅新スクエアビル７階,2026-02-02,その他の設立登記法人
医療法人社団スリジエ,千葉県千葉市中央区本千葉町７番地２Ｔ’ＳＢＲＩＧＨＴＩＡ千葉中央３階,2026-02-02,その他の設立登記法人
医療法人社団應美会,千葉県袖ケ浦市袖ケ浦駅前２丁目３６番地４,2026-02-02,その他の設立登記法人
千惠健康管理株式会社,大阪府堺市南区三木閉５７番地,2026-02-02,株式会社
司法書士法人長谷川事務所,千葉県松戸市根本４４７番地１長谷川ビル３階,2026-02-02,その他の設立登記法人
合同会社すがコンサルティング＆パートナーズ,福岡県福岡市博多区博多駅南４丁目４番１５－５０５号ＬａＦｏｎｔｅ博多駅南,2026-02-02,合同会社
合同会社てる・タイムス,岩手県西磐井郡平泉町平泉字鈴沢７３番地２,2026-02-02,合同会社
合同会社めぐみアミューズメント,神奈川県横浜市西区北幸２丁目１０番４８号むつみビル３階,2026-02-02,合同会社
合同会社アールイーコロン,新潟県三条市月岡１丁目３７番３０号,2026-02-02,合同会社
合同会社イノヴァーレ,大阪府大阪市北区中崎西３丁目１番１２－８３１号,2026-02-02,合同会社
合同会社インパス,神奈川県横浜市神奈川区台町７番地１４横浜テラス３１１号,2026-02-02,合同会社
合同会社エヌトラスコ,石川県河北郡津幡町字横浜い３３番地１,2026-02-02,合同会社
合同会社カタカナ事務所,東京都新宿区新宿５丁目１０番１０号海老沢ビル２０２,2026-02-02,合同会社
合同会社グローバルアセット,埼玉県ふじみ野市元福岡２丁目９－１２,2026-02-02,合同会社
合同会社コモドケア,奈良県北葛城郡広陵町馬見南３丁目１３－２９,2026-02-02,合同会社
合同会社ジョイ,神奈川県大和市下和田１２４６番地５,2026-02-02,合同会社
合同会社ゼロカラ,神奈川県川崎市高津区久地２丁目２番１７－５０２号マンションエナジー,2026-02-02,合同会社
合同会社ティーエム,秋田県秋田市八橋大畑２丁目８－３,2026-02-02,合同会社
合同会社トラセント,東京都西多摩郡奥多摩町川井５９４,2026-02-02,合同会社
合同会社トータスリアルティ,兵庫県川西市水明台３丁目５番地の４４,2026-02-02,合同会社
合同会社ハピハピレボリューション,東京都渋谷区円山町５番３号ＭＩＥＵＸ渋谷ビル８階,2026-02-02,合同会社
合同会社ピエール・ガストン,佐賀県西松浦郡有田町白川２丁目５番１号,2026-02-02,合同会社
合同会社ファイナンスナビゲーター,東京都豊島区高田１丁目１８－６－１２２０,2026-02-02,合同会社
合同会社フラムソリューションズ,神奈川県横須賀市小川町１８番地３０ベルシャトゥ横須賀中央７０３,2026-02-02,合同会社
